language,lm,finetuned,pretrained,encoding,task,Numberofsentence,NumberofErrorsentence,NumberofSkipsentence,NumberofValidsentence,BracketingRecall,BracketingPrecision,BracketingFMeasure,Completematch,Averagecrossing,Nocrossing,
french,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,2541,0,0,2541,49.30,50.85,50.06,3.74,6.28,20.19,
french,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,2541,0,0,2541,13.43,15.73,14.49,1.42,11.93,12.48,
french,xlm-roberta-base,not_finetuned,not_pretrained,const,single,2541,0,0,2541,14.27,16.66,15.37,1.69,11.56,11.49,
french,xlm-roberta-base,not_finetuned,pretrained,const,single,2541,0,0,2541,31.41,33.33,32.35,1.34,9.80,12.91,
basque,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,946,0,0,946,28.32,37.98,32.45,0.00,3.13,19.45,
basque,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,946,0,0,946,51.29,63.08,56.58,2.33,1.33,46.19,
basque,xlm-roberta-base,not_finetuned,not_pretrained,const,single,946,0,0,946,29.15,39.86,33.68,0.21,3.32,18.29,
basque,xlm-roberta-base,not_finetuned,pretrained,const,single,946,0,0,946,36.10,67.83,47.12,0.32,0.63,68.92,
hebrew,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,716,0,0,716,38.97,44.42,41.52,0.14,8.84,7.68,
hebrew,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,716,0,0,716,72.48,76.53,74.45,1.12,5.70,18.58,
hebrew,xlm-roberta-base,not_finetuned,not_pretrained,const,single,716,0,0,716,39.13,48.43,43.29,0.00,7.84,7.26,
hebrew,xlm-roberta-base,not_finetuned,pretrained,const,single,716,0,0,716,58.61,61.32,59.93,0.00,10.50,5.45,
hungarian,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,1009,0,0,1009,31.18,55.87,40.03,0.40,0.90,64.12,
hungarian,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,1009,0,0,1009,65.66,74.54,69.82,3.57,0.95,57.98,
hungarian,xlm-roberta-base,not_finetuned,not_pretrained,const,single,1009,0,0,1009,30.12,57.55,39.55,0.20,0.83,61.15,
hungarian,xlm-roberta-base,not_finetuned,pretrained,const,single,1009,0,0,1009,59.40,74.22,65.99,1.39,0.90,59.46,
korean,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,2287,0,0,2287,21.08,78.42,33.23,0.22,0.27,82.86,
korean,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,2287,0,0,2287,50.01,67.33,57.40,1.18,1.64,32.93,
korean,xlm-roberta-base,not_finetuned,not_pretrained,const,single,2287,0,0,2287,20.75,78.76,32.85,0.17,0.32,78.31,
korean,xlm-roberta-base,not_finetuned,pretrained,const,single,2287,0,0,2287,43.02,69.57,53.17,0.70,1.18,42.15,
polish,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,822,0,0,822,42.02,43.58,42.79,1.22,4.63,27.62,
polish,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,822,0,0,822,75.85,78.20,77.00,11.68,2.45,47.45,
polish,xlm-roberta-base,not_finetuned,not_pretrained,const,single,822,0,0,822,40.46,43.22,41.79,0.12,4.10,28.22,
polish,xlm-roberta-base,not_finetuned,pretrained,const,single,822,0,0,822,67.01,68.93,67.96,1.46,4.18,29.56,
swedish,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,666,0,0,666,26.58,33.86,29.78,1.20,4.82,21.47,
swedish,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,666,0,0,666,53.27,58.92,55.95,7.81,3.02,32.58,
swedish,xlm-roberta-base,not_finetuned,not_pretrained,const,single,666,0,0,666,27.54,34.60,30.67,1.35,4.83,21.17,
swedish,xlm-roberta-base,not_finetuned,pretrained,const,single,666,0,0,666,39.01,46.09,42.26,3.00,4.50,24.02,
english,bert-base-multilingual-cased,not_finetuned,not_pretrained,const,single,2416,0,0,2416,11.25,15.09,12.89,0.54,9.36,4.47,
english,bert-base-multilingual-cased,not_finetuned,pretrained,const,single,2416,0,0,2416,54.93,59.77,57.25,5.13,4.52,22.68,
english,xlm-roberta-base,not_finetuned,not_pretrained,const,single,2416,0,0,2416,12.49,17.16,14.46,0.37,8.97,4.22,
english,xlm-roberta-base,not_finetuned,pretrained,const,single,2416,0,0,2416,38.27,43.06,40.52,2.19,7.14,9.19,
french,google/canine-c,not_finetuned,not_pretrained,const,single,2541,0,0,2541,13.67,14.54,14.09,1.69,13.31,9.41,
french,google/canine-c,not_finetuned,pretrained,const,single,2541,0,0,2541,12.22,12.01,12.11,1.50,14.93,9.64,
french,google/canine-s,not_finetuned,not_pretrained,const,single,2541,0,0,2541,13.58,14.17,13.87,1.61,13.59,9.05,
french,google/canine-s,not_finetuned,pretrained,const,single,2541,0,0,2541,20.20,20.07,20.14,0.55,12.31,9.13,
basque,google/canine-s,not_finetuned,not_pretrained,const,single,946,0,0,946,30.86,43.65,36.16,0.32,2.16,31.08,
basque,google/canine-s,not_finetuned,pretrained,const,single,946,0,0,946,34.92,50.94,41.43,0.63,1.66,40.27,
basque,google/canine-c,not_finetuned,not_pretrained,const,single,946,0,0,946,30.86,43.65,36.16,0.32,2.16,31.08,
basque,google/canine-c,not_finetuned,pretrained,const,single,946,0,0,946,27.73,40.84,33.03,0.63,2.43,29.28,
hebrew,google/canine-s,not_finetuned,not_pretrained,const,single,716,0,0,716,39.27,42.79,40.96,0.14,10.28,7.12,
